Unnamed: 0,번호,제목,저자,출판사,출판일
,8,Who Buys Local Food?,"Zepeda, L.; Li, J.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2006
,9,Increasing Food-SafetyProtection: Fresh Apple Markets in China,"Gao, L.; Thornsbury, S.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2008
,10,Making ``Global Resources for Food'' a Hybrid Course,"Phillips, J.C.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2010
,11,Offering Food-Distribution-Related Courses in Agricultural Economics Curricula: Perspectives from Across the U.S,"Wysocki, A. F.; Toensmeyer, U. C.; Park, J.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2002
,12,Microwave and Convective Drying of Solid Food: A Unified Model for Both Processes,"Martinez, J.;Gerla, P.",Technomic,2001
,13,"Noodles and nutrition: a prebiotic option As they win over diners from Bangkok to Bogota, noodles and pasta may well be the universal functional food. A special contribution",Orafti,AP FOOD INDUSTRY PUBLICATIONS PTE LTD,2001
,14,The Economic Performance of Food-Manufacturing Industries in Idaho,"Bolotova, Y.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2008
,15,Recent Food-Stamp Caseload Changes in Tennessee,"Tegegne, F.; Muhammad, S.; Ekanem, E.; Singh, S.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2002
,16,South Korea Public Preferences for Genetically Modified Foods: A Random-Parameter Model,"Onyango, B.; Govindasamy, R.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2005
,17,"Building food-processing machinery since 1862, They are in use in many countries world-wide - the food processing machinery of Hermann Rothenburg Apparatebau GmbH",unknown,CONTRACT COMMUNICATIONS LTD,2002
,18,Is it the staff or is it the food? How the attire of restaurant employees affects customer judgments of food quality,"Chen, Yen-Cheng Daniel; Lee, Ching-Sung",Emerald Group Publishing Limited,2018
,19,"Cruising into Caribbean Cuisine Today's consumer clamors for fresh, spicy, bold and adventurous foods. Caribbean cuisine fills the bill while also delivering on many of those food characteristics more often associated with a drab menu: light, low-fat and",unknown,DELTA COMMUNICATIONS INC,2003
,20,MICROWAVE PROCESSING FOR MICRO-READY FOODS: PACKAGING REQUIREMENTS,"Brody, A. L.",Schotland,1989
,21,Acrylamide in Food: Occurrence and Detection,"Basantia, N. C.; Saxena, S. K.",ASSOCIATION OF FOOD SCIENTISTS & TECHNOLOGISTS,2003
,22,Consumer Demand for Convenience Foods: Demographics and Expenditures,"Harris, J.M.; Shiptsova, R.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2007
,23,"Demand for pesticide-free, cisgenic food? Exploring differences between consumers of organic and conventional food","Edenbrandt, Anna Kristina",Emerald Group Publishing Limited,2018
,24,Essential oil from five Zingiberaceae for anti food-borne bacteria,"Natta, L.; Orapin, K.; Krittika, N.; Pantip, B.",Faculty of Food Science and Technology,2008
,25,Translating Trends into New Products: Attendees of Prepared Foods' R&amp;D Applications Seminar-EAST heard about healthy ingredients for different consumer groups; the supplier/food developer relationship; and effective new product development methods,unknown,DELTA COMMUNICATIONS INC,2008
,26,"Annual Cheese Outlook: While the government cracks down on food-safety issues and schools re-examine childhood obesity rates, several food products continue to linger on the sidelines of near non-existence",unknown,DELTA COMMUNICATIONS INC,2010
,27,Incentive Provision and Coordination Costs in Food-Marketing Channels: A Multi-Stage Channel-Agency Theory Perspective,"Kuwornu, J. K. M.; Kuiper, W. E.; Pennings, J. M. E.; Meulenberg, M. T. G.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2005
,28,Traditional Maize Storage Systems and Staple Food-Security in Ghana,"Armah, P.; Asante, F.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2006
,29,Harnessing food‐based bioactive compounds to reduce the effects of ultraviolet radiation: a review exploring the link between food and human health,"Ye, Yuhui; Sun‐Waterhouse, Dongxiao; You, Lijun; Abbasi, Arshad Mehmood",Wiley-Blackwell,2017
,30,Low-Income California Hispanic Food-Shopping Habits,"Gradziel, P.; Matthews, J. R.; Punia, M.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2003
,31,Managing Microbes Presenters at Prepared Foods' R&amp;D Seminars discussed food safety and product integrity from several perspectives - ranging from outside lab testing to new lactic acid uses in meat applications,unknown,DELTA COMMUNICATIONS INC,2013
,32,"Functional Foods: Designer Foods, Pharmafoods, Nutraceuticals (Israel Goldberg, ed.)","Bidlack, W. R.",00,1995
,33,Current Situation of Food-Borne Diseases in Bahrain: Implications for Prevention and Control,"Musaiger, A. O.",IAMFES INTER ASSN MILK FOOD ENVIR SANITARIANS,1995
,34,Dairy Ingredients: The Future Of Functional Foods?,"Nutritionals, G.",AP FOOD INDUSTRY PUBLICATIONS PTE LTD,2008
,35,Presentation on ``IARI Technologies for the Development of Health Foods'',"Sethi, S.",THE ALL INDIAN FOOD PRESERVERS ASSOCIATION,2011
,36,Do International Food-Safety Standards Marginalize Poor Farmers? Evidence from Kenyan Family Green Bean Farms,"Okello, J. J.; Swinton, S. M.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2006
,37,Processor of the Year: Marigold Foods. Marigold Foods is one of the country's most innovative and successful dairy operations,unknown,DELTA COMMUNICATIONS INC,2002
,38,A Comparative Analysis of Food-Marketing Cooperative in Spain and the U.S,"Reaves, D. W.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2005
,39,Moisture transport in microwave heating of foods: a multiphase porous media model,"Ni, H.; Datta, A.",Sheffield Academic Press,1997
,40,"Functional Foods: Designer Foods, Pharmafoods, Nutraceuticals (Israel Goldberg, ed.)","Bidlack, W. R.",00,1995
,41,Trust in Food-Safety Information Sources: Examining Differences in Respondents' Opinions from a Three-State Survey,"Ekanem, E.; Mafuyai-Ekanem, M.; Tegegne, F.; Singh, S.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2008
,42,An insight into Functional Foods: Emerging arena for tomorrow,"Mishra, B.N.; Tumnay, A.",ASSOCIATION OF FOOD SCIENTISTS & TECHNOLOGISTS,2011
,43,What are the concerns of Croatian traditional food consumers regarding GM food?,"Cerjak, M.; Kovacic, D.; Ggic, I.",Emerald Group Publishing Limited,2011
,44,Consumers' Perception of Food-System Vulnerability to an Agroterrorist Attack,"Turvey, C.G.; Onyango, B.; Hallman, W.; Condry, S.C.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2007
,45,Satisfaction Evaluation of Food-Away-from-Home Choices by Consumers,"Bhuyan, S.; Stewart, H.; Govindasamy, R.; Hossain, F.; Adelaja, A.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2003
,46,Factors influencing food safety management system adoption in Thai food-manufacturing firms: Model development and testing,"Arpanutud, P.; Keeratipibul, S.; Charoensupaya, A.; Taylor, E.",Emerald Group Publishing Limited,2009
,47,China's accession to the WTO and its implications on Singapore's food-processing industry,"Duhamel, D.; U-Yun, W.",AP FOOD INDUSTRY PUBLICATIONS PTE LTD,2002
,48,Good Mood Foods: A Panicea of Life,"Thakur, M.; Pandey, A.; Jain, S.C.",ASSOCIATION OF FOOD SCIENTISTS & TECHNOLOGISTS,2012
,49,R&D Application Seminars: Flavor Prepared Foods' R&D Seminar speakers share insights for optimum food and beverage flavor formulation,unknown,DELTA COMMUNICATIONS INC,2015
,50,Functional foods: how big is the market? A recent report evaluates the size and growth of the US market for functional foods and beverages,unknown,EXPOCONSULT PUBLISHERS,2002
,51,"""Introduction to Food-borne Fungi""","Samson, R. A.",IAMFES INTER ASSN MILK FOOD ENVIR SANITARIANS,1995
,52,Authentic Food: A Philosophical Approach,"Silich, N. F.","Totnes:; Prospect books,",2006
,53,"Private, National, and International Food-Safety Standards","Buzby, J.; Mitchell, L.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2006
,54,Fortification of foods: a growing market - Understanding the categories and opportunities for manufacturing healthful food,"Chaudhari, R.",TEKNOSCIENZE S.R.L.,2005
,55,"Baking With Good Fats Along with an increasing awareness of food's impact on health, there is a growing interest in healthier options. Bakery products are a part of the daily diet. However, it proves to be a challenge when one has to consider lowering the content of saturated fat in bakery products while maintaining quality and nutritional profile","Mattsson, A.",AP FOOD INDUSTRY PUBLICATIONS PTE LTD,2014
,56,The relation between attitudes toward functional foods and satisfaction with food-related life,"Schnettler, Berta; Adasme-Berríos, Cristian; Grunert, Klaus G.; Márquez, María Paulina; Lobos, German; Salinas-Oñate, Natalia; Orellana, Ligia; Sepúlveda, José",Emerald Group Publishing Limited,2016
,57,Composite edible films and coatings from food-grade biopolymers,Chanda Vilas Dhumal; Preetam Sarkar,Association of Food Scientists & Technologists,2018
,58,FDA-iRISK-A Comparative Risk Assessment System for Evaluating and Ranking Food-Hazard Pairs: Case Studies on Microbial Hazards,"Chen, Y.; Dennis, S.B.; Hartnett, E.; Paoli, G.; Pouillot, R.; Ruthman, T.; Wilson, M.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2013
,59,"D Vijaya Rao (ed): Armies, wars and their food. Cambridge University Press India Pvt Ltd, New Delhi, India, 2012 (ISBN: 978-7596-918-6) Pages xx+534","Attrey, D. P.",ASSOC OF FOOD SCIENTISTS & TECHNOLOGISTS (INDIA),2013
,60,IUFoST Symposium 9: &bull; Functional Foods-Their Role in Health Promotion and Disease Prevention,"Shahidi, F.",INSTITUTE OF FOOD TECHNOLOGISTS,2004
,61,Low-Water Activity Foods: Increased Concern as Vehicles of Foodborne Pathogens,"Beuchat, L.R.; Komitopoulou, E.; Beckers, H.; Betts, R.P.; Bourdichon, F.; Fanning, S.; Joosten, H.M.; Kuile, B.H.T.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2013
,62,Effect of handling and processing on pesticide residues in food- a review,"Bajwa, U.; Sandhu, K. S.",ASSOC OF FOOD SCIENTISTS & TECHNOLOGISTS (INDIA),2014
,63,Segmenting Irish Food Consumers Using the Food-Related Lifestyle Instrument,"Ryan, I.; Cowan, C.; McCarthy, M.; Sullivan, C. O.",INTERNATIONAL BUSINESS PRESS,2004
,64,Extraction of food-borne viruses from food samples: A review,"Stals, A.; Baert, L.; Van Coillie, E.; Uyttendaele, M.","Elsevier Science B.V., Amsterdam.",2012
,65,Microbiological Quality of Ready-to-Eat Foods: Results from a Long-Term Surveillance Program (1995 through 2003),"Meldrum, R. J.; Ribeiro, C. D.; Smith, R. M. M.; Walker, A. M.; Simmons, M.; Worthington, D.; Edwards, C.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2005
,66,Ecophysiology of food-borne pathogens: Essential knowledge to improve food safety,"McMeekin, T. A.; Hill, C.; Wagner, M.; Dahl, A.; Ross, T.","Elsevier Science B.V., Amsterdam.",2010
,67,"Corrigendum to ""One-dimensional finite difference modeling on temperature history and freezing time of individual food"" [Journal of Food Engineering 79/2 (2007) 502-510]","Wang, Z.; Wu, H.; Zhao, G.; Liao, X.; Chen, F.; Wu, J.; Hu, X.","Elsevier Science B.V., Amsterdam.",2009
,68,Prediction for Shelf Life and Safety of Minimally Processed CAP/MAP Chilled Foods: A Review,THEODORE P. LABUZA; BIN FU; PETROS S. TAOUKIS,"International Association of Milk, Food, and Environmental Sanitarians",1992
,69,Membrane Processing of Foods: A Review of the Concepts Involved,"McKenna, B.",TEAGASC-Agriculture and Food Development Authority,1978
,70,Variable Adhesion of Listeria monocytogenes Isolates from Food-Processing Facilities and Clinical Cases to Inert Surfaces,"Tresse, O.; Shannon, K.; Pinon, A.; Malle, P.; Vialette, M.; Midelet-Bourdin, G.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2007
,71,Overcoming the Trend Toward Healthier Foods: The Impact of Advertising and Intangibles on Investor Returns in the Packaged Food Industry,"Heiens, Richard A.; Leach, Robert T.; Newsom, Paul D.",Taylor & Francis,2016
,72,"``We Never Ate Like That, Not Fast Food, or Junk Foods'': Accounts of Changing Maternal Diet in a Tourist Community in Rural Costa Rica","Cantor, A.; Pena, J.; Himmelgreen, D.",Taylor & Francis,2013
,73,Review of the Characteristics of Food-Derived and Endogenous N~ ~e~p~s~i~l~o~n~ -Carboxymethyllysine,"Han, L.; Li, L.; Li, B.; Zhao, D.; Li, Y.; Xu, Z.; Liu, G.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2013
,74,Preparation and evaluation of food-grade nanoemulsion of tarragon (Artemisia dracunculus L.) essential oil: antioxidant and antibacterial properties,"Maryam Azizkhani, Freshteh Jafari Kiasari, Fahimeh Tooryan, Mohammad Hassan Shahavi, Razieh Partovi",Association of Food Scientists & Technologists,2021
,75,Antibiotic Susceptibility Profiles of Pediococcus pentosaceus from Various Origins and Their Implications for the Safety Assessment of Strains with Food-Technology Applications,"Shani, Noam;Oberhaensli, Simone;Arias-Roth, Emmanuelle",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2021
,76,Construction of food-grade pH-sensitive nanoparticles for delivering functional food ingredients,"Xiong, Ke; Zhou, Liyang; Wang, Jinyu; Ma, Aiguo; Fang, Di; Xiong, Liu; Sun, Qingjie","Elsevier Science B.V., Amsterdam.",2020
,77,Development of Food-Grade Curcumin Nanoemulsion and its Potential Application to Food Beverage System: Antioxidant Property and In Vitro Digestion,"Joung, H. J.; Choi, M. J.; Kim, J. T.; Park, S. H.; Park, H. J.; Shin, G. H.",Wiley-Blackwell,2016
,78,Does Electroporation Occur During the Ohmic Heating of Food?,"Lebovka, N. I.; Praporscic, I.; Ghnimi, S.; Vorobiev, E.",INSTITUTE OF FOOD TECHNOLOGISTS,2005
,79,Feasibility of Using Half-Life Multipliers To Estimate Extended Withdrawal Intervals following the Extralabel Use of Drugs in Food-Producing Animals,"Gehring, R.; Baynes, R. E.; Craigmill, A. L.; Riviere, J. E.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2004
,80,Ewom and 2.0 Opinion Leaders in the Food Context: A Study with a Sample of Spanish Food-Related Weblogs,"Sahelices-Pinto, César; Lanero-Carrizo, Ana; Vázquez-Burguete, José Luis; Gutierrez-Rodriguez, Pablo",Taylor & Francis,2018
,81,State diagram of foods: Its potential use in food processing and product stability,"Rahman, M. S.","Elsevier Science B.V., Amsterdam.",2006
,82,Chitosan-yeast Interaction in Cooked Food: Influence of the Maillard Reaction,"Rodriguez, M. S.; Centurion, M. E.; Agullo, E.",INSTITUTE OF FOOD TECHNOLOGISTS,2002
,83,Developments In The Aseptic Processing Of Milk And Other Foods: A Critical Review,00,NEW ZEALAND INSTITUTE OF FOOD SCIENCE AND TECHNOLOGY,2000
,84,Nutrichat - Dairy foods'new profile in health benefits,00,NEW ZEALAND INSTITUTE OF FOOD SCIENCE AND TECHNOLOGY,2000
,85,Physical influences on the growth of food-poisoning bacteria in emulsion systems,"Brocklehurst, T. F.; Coleman, H. P.; Gunning, P. A.; Parker, M. L.",IRL Press,1993
,86,"Genetically modified foods: safety, risks and public concerns—a review","Bawa, A. S.; Anilakumar, K. R.",ASSOC OF FOOD SCIENTISTS & TECHNOLOGISTS (INDIA),2013
,87,Bactericidal Effects of Konjac Fluid on Several Food-Poisoning Bacteria,"Kitamoto, N.; Kato, Y.; Ohnaka, T.; Yokota, M.; Tanaka, T.; Tsuji, K.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2003
,88,Curriculum analysis of food safety competences at elementary and upper‐secondary level of formal education inside food‐related programs in slovenia,"Ovca, Andrej; Jevšnik, Mojca; Raspor, Peter",John Wiley & Sons Ltd,2018
,89,Rapid Detection of Salmonella in Pet Food: Design and Evaluation of Integrated Methods Based on Real-Time PCR Detection,"Balachandran, P.; Friberg, M.; Vanlandingham, V.; Kozak, K.; Manolis, A.; Brevnov, M.; Crowley, E.; Bird, P.; Goins, D.; Furtado, M.R.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2012
,90,Soybean - a consummate functional food: A review,"Tripathi, A. K.; Misra, A. K.",ASSOC OF FOOD SCIENTISTS & TECHNOLOGISTS (INDIA),2005
,91,Role of Moisture in Maillard Browning Reaction Rate in Intermediate Moisture Foods: Comparing Solvent Phase and Matrix Properties,"Sherwin, C. P.; Labuza, T. P.",INSTITUTE OF FOOD TECHNOLOGISTS,2003
,92,Integration of Biocontrol Agents and Food-Grade Additives for Enhancing Protection of Stored Apples from Penicillium expansum,"Lima, G.; Spina, A. M.; Castoria, R.; De Curtis, F.; De Cicco, V.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2005
,93,"Is the Emergence of the ""Fresh Prep"" Food Service Provider an Entrée into Local Foods?","Henshaw, Thomas L.",BLACKWELL PUBLISHING LTD,2019
,94,Microencapsulation of active ingredients in functional foods: From research stage to commercial food products,"Ye, Qianyu; Georges, Nicolas; Selomulya, Cordelia","Elsevier Science B.V., Amsterdam.",2018
,95,"Viability of Listeria monocytogenes on Boneless, Water-Added Hams, Commercially Prepared with and without Food-Grade Chemicals, during Extended Storage at 4 and/or -2.2°C","Luchansky,  John B.; Campano,  Stephen G.; Shoyer,  Bradley A.; Porto-Fett,  Anna C. S.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2016
,96,Fermented Nut-Based Vegan Food: Characterization of a Home made Product and Scale-Up to an Industrial Pilot-Scale Production,Giulia Tabanelli; Federica Pasini; Ylenia Riciputi; Lucia Vannini; Giorgia Gozzi; Federica Balestra; Maria Fiorenza Caboni; Fausto Gardini; Chiara Montanari,Institute of Food Technologists,2018
,97,"Intention to Try Unfamiliar Food: The Role of Level and Type of Unfamiliarity, Food Neophobia, and Ethnocentrism","Aqueveque, Claudio",Taylor & Francis,2015
,98,"Risk of Foodborne Illness from Pet Food: Assessing Pet Owners' Knowledge, Behavior, and Risk Perception","Thomas, Merlyn; Feng, Yaohua",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2020
,99,Use of Bacteriocins in Food: Regulatory Considerations,"Fields, F. O.",IAMFES,1996
,100,Beetroot improves oxidative stability and functional properties of processed foods: singular and combined effects with chocolate,Viren Ranawana; Emma Moynihan; Fiona Campbell,Association of Food Scientists & Technologists,2018
,1,"Prevalence and Molecular Characteristics of Clostridium difficile in Retail Meats, Food-Producing and Companion Animals, and Humans in Minnesota","Shaughnessy, Megan K.; Snider, Tim; Sepulveda, Rocio; Boxrud, David; Cebelinski, Elizabeth; Jawahir, Selina; Holzbauer, Stacy; Johnston, Brian D.; Smith, Kirk; Bender, Jeff B.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2018
,2,Essential fatty acids as functional components of foods- a review,"Kaur, N.; Chugh, V.; Gupta, A. K.",ASSOC OF FOOD SCIENTISTS & TECHNOLOGISTS (INDIA),2014
,3,In Vitro Digestion of Lipids in Real Foods: Influence of Lipid Organization Within the Food Matrix and Interactions with Nonlipid Components,"Calvo-Lerma, J.; Fornés-Ferrer, V.; Heredia, A.; Andrés, A.",John Wiley & Sons Ltd,2018
,4,"Polycyclic Aromatic Hydrocarbons in Foods: Human Exposure through the Diet in Catalonia, Spain","Falco, G.; Domingo, J. L.; Llobet, J. M.; Teixido, A.; Casas, C.; Muller, L.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2003
,5,Relieving the tension in hypertension: Food–drug interactions and anti‐hypertensive mechanisms of food bioactive compounds,"Ajeigbe, Olufunke Florence; Ademosun, Ayokunle Olubode; Oboh, Ganiyu",Wiley-Blackwell,2021
,6,Measurement techniques and application of electrical properties for nondestructive quality evaluation of foods—a review,"Jha, S. N.; Narsaiah, K.; Basediya, A. L.; Sharma, R.; Jaiswal, P.; Kumar, R.; Bhardwaj, R.",ASSOC OF FOOD SCIENTISTS & TECHNOLOGISTS (INDIA),2011
,7,Chinese Consumers' Perceptions of Functional Foods: A Netnography Study of Foods that Help the Immune System Recover from Air Pollution,"Cong, Lei; Bremer, Phil; Mirosa, Miranda",Taylor & Francis,2019
,8,Association of Prophage Antiterminator Q Alleles and Susceptibility to Food-Processing Treatments Applied to Escherichia coli O157 in Laboratory Media,"Malone, A.S.; Yousef, A.E.; LeJeune, J.T.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2007
,9,Fruit-based functional foods I: production of food-grade apple fibre ingredients,"Sun-Waterhouse, D.; Farr, J.; Wibisono, R.; Saleh, Z.",Blackwell Publishing Ltd,2008
,10,Romanian Consumer Behavior Regarding Traditional Foods: Contributing to the Rebuilding of a Healthier Food Culture,"Purc?rea, T.V.; Orzan, G.; Orzan, M.; Stoica, I.",Taylor & Francis,2013
,11,THE ROLE OF SALMONELLAE IN FOOD-BORNE DISEASE IN THE 21^S^T CENTURY,"Dickson, J. S.",AGRICULTURE AND FOOD DEVELOPMENT AUTHORITY,2000
,12,"Integrating Multiple Factors Affecting Consumer Behavior Toward Organic Foods: The Role of Healthism, Hedonism, and Trust in Consumer Purchase Intentions of Organic Foods","Anisimova, Tatiana",Taylor & Francis,2016
,13,Antimicrobial activities of active component isolated from Lawsonia inermis leaves and structure-activity relationships of its analogues against food-borne bacteria,"Yang, J. Y.; Lee, H. S.",ASSOC OF FOOD SCIENTISTS & TECHNOLOGISTS (INDIA),2015
,14,Fractionation of Caseins by Anion-exchange Chromatography Using Food-grade Buffers,"Turhan, K. N.; Barbano, D. M.; Etzel, M. R.",INSTITUTE OF FOOD TECHNOLOGISTS,2003
,15,The Effect of Electric Field on Important Food-processing Enzymes: Comparison of Inactivation Kinetics under Conventional and Ohmic Heating,"Castro, I.; Macedo, B.; Teixeira, J. A.; Vicente, A. A.",INSTITUTE OF FOOD TECHNOLOGISTS,2004
,16,"""We Never Ate Like That, Not Fast Food, or Junk Foods"": Accounts of Changing Maternal Diet in a Tourist Community in Rural Costa Rica","Cantor, Allison; Peña, Jenny; Himmelgreen, David",Taylor & Francis,2013
,17,EU regulation on novel foods: Consequences for the food industry,"Huggett, A. C.",00,1997
,18,Tracing the Contamination Origin of Coliform Bacteria in Two Small Food-Processing Factories,"Tominaga, T.; Sekine, M.; Oyaizu, H.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2008
,19,Bacteriophages for Detection and Control of Bacterial Pathogens in Food and Food-Processing Environment,"Brovko, L.Y.; Anany, H.; Griffiths, M.W.",ACADEMIC PRESS,2012
,20,"Prevalence of Listeria monocytogenes in Select Ready-to-Eat Foods—Deli Meat, Soft Cheese, and Packaged Salad: A Systematic Review and Meta-Analysis","Churchill, Katheryn J.; Sargeant, Jan M.; Farber, Jeffrey M.; O Connor, Annette M.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2019
,21,Antibiotic Resistance in Bacterial Pathogens from Retail Raw Meats and Food-Producing Animals in Japan,"Hiroi, M.; Kawamori, F.; Harada, T.; Sano, Y.; Miwa, N.; Sugiyama, K.; Hara-Kudo, Y.; Masuda, T.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2012
,22,Trace elements in foods: Zinc contents of raw foods-A comparison of data originating from different geographical regions of the world,"Scherz, H.; Kirchhoff, E.","Elsevier Science B.V., Amsterdam",2006
,23,Fatty acid degradation and xenobiotics in processed foods: a GC/MS - SIM investigation,"Palla, G.;Ghidini, M.;Pignagnoli, F.",Czech Chemical Society,1996
,24,Validation of Food-Grade Salts of Organic Acids as Ingredients To Control Listeria monocytogenes on Pork Scrapple during Extended Refrigerated Storage,"Porto-Fett, A.C.S.; Campano, S.G.; Call, J.E.; Shoyer, B.A.; Yoder, L.; Gartner, K.; Tufft, L.; Oser, A.; Lee, J.; Luchansky, J.B.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2011
,25,"Animal cloning for food: epigenetics, health, welfare and food safety aspects","Houdebine, L. M.; Dinnyes, A.; Banati, D.; Kleiner, J.; Carlander, D.","Elsevier Science B.V., Amsterdam.",2008
,26,Melon (Cucumis melo L.) by-products: Potential food ingredients for novel functional foods?,"Silva, Mafalda Alexandra; Albuquerque, Tânia Gonçalves; Alves, Rita C.; Oliveira, M. Beatriz P.P.; Costa, Helena S.","Elsevier Science B.V., Amsterdam.",2020
,27,"Fate of Food-Associated Bacteria in Pork as Affected by Marinade, Temperature, and Ultrasound","Birk, T.; Knochel, S.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2009
,28,Influence of pomegranate seed extract on the formation of biogenic amines in a cereal based fermented food: Tarhana,Tuğçe Erol & Özgül Özdestan Ocak,Association of Food Scientists & Technologists,2020
,29,Campylobacter in Ready-to-Eat Foods: The Result of a 15-Month Survey,"Meldrum, R. J.; Ribeiro, C. D.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2003
,30,Assessment of survival of food-borne microorganisms in the food chain by fluorescence ratio imaging microscopy,"Siegumfeldt, H.; Arneborg, N.","Elsevier Science B.V., Amsterdam.",2011
,31,Enterococci in foods-a conundrum for food safety,"Franz, C. M.; Stiles, M. E.; Schleifer, K. H.; Holzapfel, W. H.","Elsevier Science B.V., Amsterdam.",2003
,32,Biogenic Amines in Cheese and other Fermented Foods: A Review,JAYNE E. STRATTON; ROVERT W. HUTKINS; STEVE L. TAYLOR,"International Association of Milk, Food, and Environmental Sanitarians",1991
,33,Economically Motivated Adulteration (EMA) of Food: Common Characteristics of EMA Incidents,"Everstine, K.; Spink, J.; Kennedy, S.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2013
,34,Analytical Techniques for Glass Contamination of Food: A Guide for Administrators and Analysts,JOHN S. GECAN; STANLEY M. CICHOWICZ; PARIS M. BRICKEY,"International Association of Milk, Food, and Environmental Sanitarians",1990
,35,Application of food-grade microorganisms for addressing deterioration associated with fortification of food with trace metals,"Kanamarlapudi, Sri Lakshmi Ramya Krishna; Muddada, Sudhamani",Taylor & Francis,2019
,36,"Influence of food preservation parameters and associated microbiota on production rate, profile and stability of acylated homoserine lactones from food-derived Enterobacteriaceae","Ravn Flodgaard, L.; Christensen, A. B.; Molin, S.; Givskov, M.; Gram, L.","Elsevier Science B.V., Amsterdam.",2003
,37,"“We Never Ate Like That, Not Fast Food, or Junk Foods”: Accounts of Changing Maternal Diet in a Tourist Community in Rural Costa Rica","Cantor, Allison; Peña, Jenny; Himmelgreen, David",Taylor & Francis,2013
,38,Transfer of Persistent Listeria monocytogenes Contamination between Food-Processing Plants Associated with a Dicing Machine,"Lunden, J. M.; Autio, T. J.; Korkeala, H. J.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2002
,39,Characterization of Low-Molecular-Weight Antiyeast Metabolites Produced by a Food-Protective Lactobacillus-Propionibacterium Coculture,"Schwenninger, S.M.; Lacroix, C.; Truttmann, S.; Jans, C.; Sporndli, C.; Bigler, L.; Meile, L.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2008
,40,Acrylamide in Food: An Emerging Public Health Concern?,"Gormley, T. R.; Mee, P. M.",AGRICULTURE AND FOOD DEVELOPMENT AUTHORITY,2003
,41,Mineral content of Pakistani foods: An update of food composition database of Pakistan through indirect method,"Soomro, S. I.; Memon, N.; Bhanger, M. I.; Memon, S.; Memon, A. A.","Elsevier Science B.V., Amsterdam",2016
,42,Reducing the Sodium Content of Foods: A Review,K. ANJAN REDDY; ELMER H. MARTH,"International Association of Milk, Food, and Environmental Sanitarians",1991
,43,"Antimicrobial Resistance of Food-Related Salmonella Isolates, 1999-2000","Kiessling, C. R.; Cutting, J. H.; Loftis, M.; Kiessling, W. M.; Datta, A. R.; Sofos, J. N.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2002
,44,Mycotoxin Regulations for Foods: A Global Update,"Viswanath, P.",ASSOC OF FOOD SCIENTISTS & TECHNOLOGISTS (INDIA),2004
,45,Detection of Listeria monocytogenes in Foods: Comparison of Colony Hybridization Technique with Conventional Method,"Kamat, A.; Ussuf, K. K.; Bongirwar, D. R.",ASSOC OF FOOD SCIENTISTS & TECHNOLOGISTS (INDIA),2002
